tract_id,precount_positive,all_positive,median_hhold_inc,median_age,week_19,count_19,week_20,count_20
53033030006,36,213,48460.0,39.8,2019/4/29,148,2020/4/27,41
53033030100,15,226,88576.0,42.4,2019/4/29,89,2020/4/27,36
53033030201,11,218,71719.0,37.8,2019/4/29,103,2020/4/27,24
53033030202,44,502,65270.0,34.5,2019/4/29,132,2020/4/27,46
53033030304,16,194,71944.0,35.2,2019/4/29,81,2020/4/27,24
53033030305,12,201,65269.0,44.3,2019/4/29,68,2020/4/27,34
53033030306,15,211,92026.0,38.8,2019/4/29,73,2020/4/27,32
53033030308,12,271,76357.0,32.8,2019/4/29,77,2020/4/27,37
53033030309,19,226,65058.0,36.0,2019/4/29,90,2020/4/27,28
53033030310,17,255,89559.0,35.3,2019/4/29,72,2020/4/27,21
53033030311,18,282,85833.0,35.9,2019/4/29,149,2020/4/27,37
53033030312,16,245,66458.0,33.2,2019/4/29,102,2020/4/27,19
53033030313,12,253,49291.0,36.3,2019/4/29,54,2020/4/27,8
53033030314,8,147,39947.0,47.2,2019/4/29,51,2020/4/27,22
53033030401,28,416,80662.0,38.2,2019/4/29,171,2020/4/27,56
53033030403,19,161,81935.0,46.8,2019/4/29,61,2020/4/27,24
53033030404,17,162,97794.0,40.7,2019/4/29,57,2020/4/27,36
53033030501,8,170,31962.0,49.1,2019/4/29,56,2020/4/27,44
53033030503,23,351,57726.0,38.4,2019/4/29,119,2020/4/27,62
53033030504,25,233,62147.0,35.5,2019/4/29,99,2020/4/27,41
53033030600,18,318,63685.0,38.6,2019/4/29,114,2020/4/27,32
53033030700,18,246,54868.0,37.5,2019/4/29,71,2020/4/27,20
53033030801,51,706,53906.0,31.5,2019/4/29,95,2020/4/27,36
53033030802,17,257,55656.0,36.3,2019/4/29,70,2020/4/27,23
53033030901,24,157,82279.0,31.5,2019/4/29,103,2020/4/27,24
53033030902,25,322,57335.0,30.0,2019/4/29,139,2020/4/27,74
53033031000,9,147,122019.0,37.5,2019/4/29,118,2020/4/27,19
53033031100,23,374,65172.0,38.0,2019/4/29,138,2020/4/27,81
53033031202,14,212,97454.0,42.3,2019/4/29,81,2020/4/27,28
53033031204,7,148,106422.0,47.7,2019/4/29,74,2020/4/27,20
53033031205,30,454,71396.0,28.5,2019/4/29,161,2020/4/27,54
53033031206,34,199,77417.0,27.7,2019/4/29,56,2020/4/27,20
53033031301,4,79,78250.0,46.0,2019/4/29,36,2020/4/27,8
53033031302,8,103,53835.0,36.8,2019/4/29,88,2020/4/27,17
53033031400,56,250,77083.0,42.2,2019/4/29,88,2020/4/27,46
53033031501,10,74,87649.0,41.8,2019/4/29,51,2020/4/27,16
53033031502,8,94,83750.0,47.1,2019/4/29,44,2020/4/27,17
53033031601,13,108,108194.0,41.4,2019/4/29,63,2020/4/27,16
53033031603,10,141,117900.0,37.1,2019/4/29,86,2020/4/27,37
53033031604,13,109,101008.0,33.9,2019/4/29,127,2020/4/27,44
53033031605,4,79,111464.0,42.6,2019/4/29,48,2020/4/27,18
53033031703,27,248,96810.0,46.9,2019/4/29,80,2020/4/27,60
53033031704,13,323,101367.0,35.7,2019/4/29,99,2020/4/27,46
53033031706,24,212,98919.0,37.1,2019/4/29,136,2020/4/27,40
53033031800,14,127,114625.0,48.9,2019/4/29,83,2020/4/27,12
53033031903,14,168,118435.0,41.8,2019/4/29,110,2020/4/27,31
53033031904,6,78,106438.0,43.8,2019/4/29,54,2020/4/27,12
53033031906,7,88,109728.0,45.5,2019/4/29,65,2020/4/27,15
53033031907,24,159,95595.0,37.4,2019/4/29,162,2020/4/27,37
53033031908,9,91,80122.0,35.9,2019/4/29,36,2020/4/27,12
53033031909,5,79,110190.0,42.0,2019/4/29,52,2020/4/27,21
53033032002,3,58,94875.0,43.4,2019/4/29,44,2020/4/27,16
53033032003,9,128,116052.0,42.2,2019/4/29,65,2020/4/27,36
53033032005,18,224,100855.0,40.3,2019/4/29,62,2020/4/27,61
53033032006,19,104,102308.0,41.3,2019/4/29,53,2020/4/27,4
53033032007,3,71,108438.0,41.9,2019/4/29,76,2020/4/27,21
